mrgid_ter1,name,territory_iso3c,sovereign_iso3c,continent
8688,Collectivity of Saint Martin,MAF,FRA,Americas
2221,Morocco,MAR,MAR,Africa
2222,Monaco,MCO,MCO,Europe
7963,Madagascar,MDG,MDG,Africa
2229,Maldives,MDV,MDV,Asia
2224,Mexico,MEX,MEX,Americas
2226,Marshall Islands,MHL,MHL,Oceania
2217,Malta,MLT,MLT,Europe
2219,Myanmar,MMR,MMR,Asia
17831,Montenegro,MNE,MNE,Europe
8598,Northern Mariana Islands,MNP,USA,Oceania
2220,Mozambique,MOZ,MOZ,Africa
2236,Mauritania,MRT,MRT,Africa
8646,Montserrat,MSR,GBR,Americas
8655,Martinique,MTQ,FRA,Americas
8614,Republic of Mauritius,MUS,MUS,Africa
2230,Malaysia,MYS,MYS,Asia
8606,Mayotte,MYT,FRA,Africa
2218,Namibia,NAM,NAM,Africa
2261,New Caledonia,NCL,FRA,Oceania
8591,Norfolk Island,NFK,AUS,Oceania
2253,Nigeria,NGA,NGA,Africa
2255,Nicaragua,NIC,NIC,Americas
8673,Niue,NIU,NZL,Oceania
15,Netherlands,NLD,NLD,Europe
2252,Norway,NOR,NOR,Europe
2252,Joint regime area Sweden / Norway,NOR,NOR,Europe
8596,Nauru,NRU,NRU,Oceania
2227,New Zealand,NZL,NZL,Oceania
2251,Oman,OMN,OMN,Asia
2250,Pakistan,PAK,PAK,Asia
2249,Panama,PAN,PAN,Americas
2259,Pitcairn,PCN,GBR,Oceania
2257,Peru,PER,PER,Americas
2257,Joint regime area Peru / Ecuador,PER,PER,Americas
2245,Philippines,PHL,PHL,Asia
8594,Palau,PLW,PLW,Oceania
2237,Papua New Guinea,PNG,PNG,Oceania
2237,Protected Zone established under the Torres Strait Treaty,PNG,PNG,Oceania
2244,Poland,POL,POL,Europe
8641,Puerto Rico,PRI,USA,Americas
8641,Overlapping claim: Puerto Rico / Dominican Republic,PRI,USA,Americas
8601,North Korea,PRK,PRK,Asia
2243,Portugal,PRT,PRT,Europe
8656,French Polynesia,PYF,FRA,Oceania
